Player_ID,event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,1,54,54,5141847,5141847,5141845,60,5,1000,0,0,5
1,2,85,135,1589271,1589271,3200892,20,5,1001,2,4,7
1,3,70,205,3901894,3901894,3036287,40,5,1004,0,0,4
1,4,54,259,4158330,4158330,2785573,45,0,1006,0,0,5
1,5,68,327,2207564,2207564,2207584,25,0,1009,0,0,7
1,6,24,351,10000069,10000069,4487532,100,7,1014,3,0,15
1,7,67,414,609803,609803,3185132,10,0,1016,2,4,12
1,8,38,452,4375846,4375846,3131569,45,0,1018,0,0,6
1,9,64,516,2266587,2266587,2695397,25,0,1022,0,0,11
1,10,57,573,717261,717261,1842310,10,34,1020,2,0,11
1,11,79,652,244171,244171,899341,5,27,1025,1,0,3
1,12,90,738,46734,46734,324062,1,0,1026,3,4,10
1,13,86,824,729452,729452,201018,10,0,1033,0,0,12
1,14,55,879,6562432,6562432,316803,65,27,1037,1,0,5
1,15,79,958,265613,265613,128730,5,4,1038,2,0,5
1,16,50,1008,4308195,4308195,147952,40,4,1040,0,0,13
1,17,94,1102,565735,565735,89486,10,3,1043,2,0,14
1,18,75,1173,458635,458635,69654,5,25,1047,2,4,13
1,19,87,1260,1067949,1067949,51410,10,27,1052,1,0,9
1,20,81,1341,846331,846331,28393,10,29,1055,1,0,12
6,1,64,64,2621727,2621729,2621727,35,0,1000,0,0,3
6,2,103,167,144748,144748,141606,5,15,1002,1,0,9
6,3,87,254,489783,489783,59165,5,0,1010,0,0,9
6,4,54,308,4158330,4158331,86614,45,0,1013,0,0,2
6,5,75,383,942632,942632,50154,10,0,1017,0,0,2
6,6,68,451,1656124,1656124,18781,20,8,1018,3,0,7
6,7,77,528,120253,120253,1573,5,8,1021,0,0,2
6,8,26,554,8970001,8970001,8163,90,2,1024,2,0,1
6,9,52,606,6339388,6339388,31182,60,10,1025,1,0,9
6,10,43,649,3764282,3764283,50897,40,9,1028,1,0,17
6,11,72,717,670148,670148,38376,10,0,1031,2,4,2
6,12,66,783,1426170,1426170,29446,15,0,1033,0,0,6
6,13,66,849,4013144,4013144,60256,40,20,1032,1,0,3
6,14,66,915,3398113,3398113,63511,35,3,1030,2,0,3
6,15,58,973,3371904,3371905,63513,35,0,1031,1,0,3
6,16,40,1013,8054312,8054312,119482,75,0,1034,1,0,7
6,17,87,1100,1244759,1244759,96248,15,1,1034,1,0,22
6,18,63,1155,2777501,2777501,142130,30,0,1034,3,8,4
6,19,88,1243,932599,932599,103116,10,0,1038,1,0,10
6,20,68,1311,3182755,3182755,101117,30,0,1042,0,0,0
7,1,75,75,704705,704705,704705,10,5,1000,0,0,4
7,2,80,155,2340828,2340828,606835,25,5,1002,0,0,11
7,3,81,236,1357687,1357687,438390,15,14,1006,1,0,5
7,4,43,275,7680575,7680575,1407150,80,3,1007,3,4,15
7,5,73,348,1234954,1234954,849533,15,3,1011,0,0,3
7,6,38,386,7774756,7774756,1721350,75,0,1014,0,0,17
7,7,56,442,2180449,2180449,1219171,25,27,1020,1,0,8
